New_Combination,Predicted_Accuracy(%),Predicted_DataVolume,Predicted_Latency_Sum(ms),Predicted_RoundTime_Max(ms),Numerical_Combination,ZeroShot_Accuracy(%),ZeroShot_DataVolume,ZeroShot_Latency_Sum(ms),ZeroShot_RoundTime_Max(ms),Combo_Set,Historical_Combination,Historical_Accuracy,Historical_DataVolume,Historical_Latency,Historical_RoundTime
C7-C10-C16-C17-C25,65.89999794960022,13990,12303.552627563477,3260.68115234375,7-10-16-17-25,57.06375,14347.586,20800.285,5727.8525,"{'C17', 'C10', 'C16', 'C25', 'C7'}",C7-C10,70.67000269889832,5595.0,,4998.061656951904
C1-C8-C15-C24-C25,17.499999701976776,13989,12586.267471313477,2779.338836669922,1-8-15-24-25,45.94315,14690.95,20007.615,5836.118,"{'C24', 'C8', 'C25', 'C1', 'C15'}",C1-C8,58.07999968528748,5594.0,,5876.826047897339
C2-C8-C15-C17-C18,37.61000037193298,13984,15086.834907531738,4687.891960144043,2-8-15-17-18,48.832794,14772.606,20648.645,6229.651,"{'C8', 'C17', 'C18', 'C2', 'C15'}",C2-C8,49.3800014257431,5590.0,,5876.826047897339
C4-C9-C10-C17-C19,61.159998178482056,13990,10435.312032699583,2654.266119003296,4-9-10-17-19,53.383465,15054.679,20428.625,5755.118,"{'C17', 'C4', 'C10', 'C19', 'C9'}",C4-C9,58.99999737739563,5595.0,,3603.2345294952393
C4-C9-C10-C17-C19,61.159998178482056,13990,10435.312032699583,2654.266119003296,4-9-10-17-19,53.383465,15054.679,20428.625,5755.118,"{'C17', 'C4', 'C10', 'C19', 'C9'}",C4-C10,69.84999775886536,5590.0,,4569.4990158081055
C4-C9-C10-C17-C19,61.159998178482056,13990,10435.312032699583,2654.266119003296,4-9-10-17-19,53.383465,15054.679,20428.625,5755.118,"{'C17', 'C4', 'C10', 'C19', 'C9'}",C9-C10,78.2800018787384,5595.0,,4569.4990158081055
C4-C9-C10-C17-C19,61.159998178482056,13990,10435.312032699583,2654.266119003296,4-9-10-17-19,53.383465,15054.679,20428.625,5755.118,"{'C17', 'C4', 'C10', 'C19', 'C9'}",C4-C9-C10,64.91000056266785,8390.0,,4569.4990158081055
C2-C3-C9-C20-C24,38.44999969005585,13987,13277.100324630735,4806.060075759888,2-3-9-20-24,43.831364,14438.383,20222.492,5938.513,"{'C24', 'C2', 'C20', 'C3', 'C9'}",C2-C3,58.27000141143799,5596.0,,2649.716377258301
C2-C3-C9-C20-C24,38.44999969005585,13987,13277.100324630735,4806.060075759888,2-3-9-20-24,43.831364,14438.383,20222.492,5938.513,"{'C24', 'C2', 'C20', 'C3', 'C9'}",C2-C9,48.48000109195709,5596.0,,2511.845111846924
C2-C3-C9-C20-C24,38.44999969005585,13987,13277.100324630735,4806.060075759888,2-3-9-20-24,43.831364,14438.383,20222.492,5938.513,"{'C24', 'C2', 'C20', 'C3', 'C9'}",C3-C9,41.92000031471253,5600.0,,2649.716377258301
C2-C3-C9-C20-C24,38.44999969005585,13987,13277.100324630735,4806.060075759888,2-3-9-20-24,43.831364,14438.383,20222.492,5938.513,"{'C24', 'C2', 'C20', 'C3', 'C9'}",C2-C3-C9,29.989999532699585,8396.0,,2649.716377258301
C3-C7-C8-C18-C21,46.070000529289246,13988,16585.843324661255,6137.926340103149,3-7-8-18-21,47.41653,14689.353,21503.326,5941.9463,"{'C8', 'C18', 'C21', 'C3', 'C7'}",C3-C7,65.28000235557556,5600.0,,4998.061656951904
C3-C7-C8-C18-C21,46.070000529289246,13988,16585.843324661255,6137.926340103149,3-7-8-18-21,47.41653,14689.353,21503.326,5941.9463,"{'C8', 'C18', 'C21', 'C3', 'C7'}",C3-C8,61.250001192092896,5594.0,,5876.826047897339
C3-C7-C8-C18-C21,46.070000529289246,13988,16585.843324661255,6137.926340103149,3-7-8-18-21,47.41653,14689.353,21503.326,5941.9463,"{'C8', 'C18', 'C21', 'C3', 'C7'}",C7-C8,64.70000147819519,5594.0,,5876.826047897339
C3-C7-C8-C18-C21,46.070000529289246,13988,16585.843324661255,6137.926340103149,3-7-8-18-21,47.41653,14689.353,21503.326,5941.9463,"{'C8', 'C18', 'C21', 'C3', 'C7'}",C3-C7-C8,60.019999742507935,8394.0,,5876.826047897339
C4-C7-C18-C23-C24,35.38999855518341,13984,14051.125288009644,3358.293294906616,4-7-18-23-24,44.86952,14175.521,18237.299,5314.307,"{'C24', 'C23', 'C4', 'C18', 'C7'}",C4-C7,68.81999969482422,5595.0,,4998.061656951904
C5-C6-C15-C19-C20,30.18999993801117,13991,13053.574085235596,2829.719305038452,5-6-15-19-20,45.64576,14245.699,20998.047,5939.2163,"{'C6', 'C5', 'C20', 'C19', 'C15'}",C5-C6,55.330002307891846,5595.0,,3276.2575149536133
C1-C3-C9-C23-C25,57.0900022983551,14000,14102.27084159851,3267.021656036377,1-3-9-23-25,45.218834,14604.504,19896.725,5679.0405,"{'C23', 'C25', 'C1', 'C3', 'C9'}",C1-C3,58.71000289916992,5600.0,,5809.942007064819
C1-C3-C9-C23-C25,57.0900022983551,14000,14102.27084159851,3267.021656036377,1-3-9-23-25,45.218834,14604.504,19896.725,5679.0405,"{'C23', 'C25', 'C1', 'C3', 'C9'}",C1-C9,68.22999715805054,5600.0,,5809.942007064819
C1-C3-C9-C23-C25,57.0900022983551,14000,14102.27084159851,3267.021656036377,1-3-9-23-25,45.218834,14604.504,19896.725,5679.0405,"{'C23', 'C25', 'C1', 'C3', 'C9'}",C3-C9,41.92000031471253,5600.0,,2649.716377258301
C1-C3-C9-C23-C25,57.0900022983551,14000,14102.27084159851,3267.021656036377,1-3-9-23-25,45.218834,14604.504,19896.725,5679.0405,"{'C23', 'C25', 'C1', 'C3', 'C9'}",C1-C3-C9,39.53999876976013,8400.0,,5809.942007064819
C4-C7-C10-C17-C20,38.74000012874603,13986,15035.143852233889,3255.8183670043945,4-7-10-17-20,52.7059,15135.918,20719.55,5794.1313,"{'C17', 'C4', 'C10', 'C20', 'C7'}",C4-C7,68.81999969482422,5595.0,,4998.061656951904
C4-C7-C10-C17-C20,38.74000012874603,13986,15035.143852233889,3255.8183670043945,4-7-10-17-20,52.7059,15135.918,20719.55,5794.1313,"{'C17', 'C4', 'C10', 'C20', 'C7'}",C4-C10,69.84999775886536,5590.0,,4569.4990158081055
C4-C7-C10-C17-C20,38.74000012874603,13986,15035.143852233889,3255.8183670043945,4-7-10-17-20,52.7059,15135.918,20719.55,5794.1313,"{'C17', 'C4', 'C10', 'C20', 'C7'}",C7-C10,70.67000269889832,5595.0,,4998.061656951904
C4-C7-C10-C17-C20,38.74000012874603,13986,15035.143852233889,3255.8183670043945,4-7-10-17-20,52.7059,15135.918,20719.55,5794.1313,"{'C17', 'C4', 'C10', 'C20', 'C7'}",C4-C7-C10,64.46999907493591,8390.0,,4998.061656951904
C6-C9-C16-C22-C23,44.47999894618988,13985,12712.789297103882,2791.908025741577,6-9-16-22-23,47.209087,14660.217,20546.705,6052.544,"{'C6', 'C23', 'C22', 'C16', 'C9'}",C6-C9,54.49000000953674,5595.0,,3276.2575149536133
C2-C6-C15-C17-C18,56.01999759674072,13985,12863.332748413086,3213.203430175781,2-6-15-17-18,46.373528,14392.462,20323.75,6103.7373,"{'C6', 'C17', 'C18', 'C2', 'C15'}",C2-C6,39.55000042915344,5591.0,,3276.2575149536133
C2-C5-C10-C24-C25,33.090001344680786,13986,12842.822790145874,2911.4091396331787,2-5-10-24-25,53.447414,15197.556,21936.166,6311.3784,"{'C24', 'C10', 'C5', 'C2', 'C25'}",C2-C5,54.64000105857849,5596.0,,2685.427188873291
C2-C5-C10-C24-C25,33.090001344680786,13986,12842.822790145874,2911.4091396331787,2-5-10-24-25,53.447414,15197.556,21936.166,6311.3784,"{'C24', 'C10', 'C5', 'C2', 'C25'}",C2-C10,51.169997453689575,5591.0,,4569.4990158081055
C2-C5-C10-C24-C25,33.090001344680786,13986,12842.822790145874,2911.4091396331787,2-5-10-24-25,53.447414,15197.556,21936.166,6311.3784,"{'C24', 'C10', 'C5', 'C2', 'C25'}",C5-C10,54.72000241279602,5595.0,,4569.4990158081055
