Combination,C1_DataVolume(MB),C1_FeatureCount,C1_Accuracy(%),C1_Latency(ms),C1_Label0,C1_Label1,C1_Label2,C1_Label3,C1_Label4,C1_Label5,C1_Label6,C1_Label7,C1_Label8,C1_Label9,C2_DataVolume(MB),C2_FeatureCount,C2_Accuracy(%),C2_Latency(ms),C2_Label0,C2_Label1,C2_Label2,C2_Label3,C2_Label4,C2_Label5,C2_Label6,C2_Label7,C2_Label8,C2_Label9,C3_DataVolume(MB),C3_FeatureCount,C3_Accuracy(%),C3_Latency(ms),C3_Label0,C3_Label1,C3_Label2,C3_Label3,C3_Label4,C3_Label5,C3_Label6,C3_Label7,C3_Label8,C3_Label9,C4_DataVolume(MB),C4_FeatureCount,C4_Accuracy(%),C4_Latency(ms),C4_Label0,C4_Label1,C4_Label2,C4_Label3,C4_Label4,C4_Label5,C4_Label6,C4_Label7,C4_Label8,C4_Label9,C5_DataVolume(MB),C5_FeatureCount,C5_Accuracy(%),C5_Latency(ms),C5_Label0,C5_Label1,C5_Label2,C5_Label3,C5_Label4,C5_Label5,C5_Label6,C5_Label7,C5_Label8,C5_Label9,Global_Accuracy(%),Global_DataVolume,Global_Latency_Sum(ms),Global_RoundTime_Max(ms)
C1-C2,2400,3072,43,2556,240,240,240,240,240,240,240,240,240,240,2396,3072,11,2513,187,116,153,465,25,257,874,130,36,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.270000040531158,4796.0,5069.718837738037,2556.4160346984863
C1-C3,2400,3072,43,2556,240,240,240,240,240,240,240,240,240,240,2400,3072,39,2578,240,240,240,240,240,240,240,240,240,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.860000669956207,4800.0,5134.560823440552,2578.1447887420654
C1-C4,2400,3072,43,2556,240,240,240,240,240,240,240,240,240,240,2394,3072,30,2748,5,1115,245,131,68,127,154,68,446,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.780000388622284,4794.0,5305.062532424927,2748.6464977264404
C1-C5,2400,3072,43,2556,240,240,240,240,240,240,240,240,240,240,2400,3072,11,2459,233,229,254,242,227,237,262,245,232,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.38000065088272,4800.0,5015.78426361084,2556.4160346984863
C1-C6,2400,3072,43,2556,240,240,240,240,240,240,240,240,240,240,2396,3072,14,2550,239,467,87,392,60,63,465,209,164,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.839999794960022,4796.0,5106.85920715332,2556.4160346984863
C1-C7,2400,3072,43,2556,240,240,240,240,240,240,240,240,240,240,2400,3072,11,2583,240,240,240,240,240,240,240,240,240,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.87999951839447,4800.0,5139.840364456177,2583.4243297576904
C1-C8,2400,3072,43,2556,240,240,240,240,240,240,240,240,240,240,2396,3072,31,2646,1,1,84,744,10,22,509,134,231,660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.330000102519989,4796.0,5203.288793563843,2646.8727588653564
C1-C9,2400,3072,43,2556,240,240,240,240,240,240,240,240,240,240,2400,3072,41,2521,237,226,246,243,223,251,263,236,228,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.680000007152557,4800.0,5077.476739883423,2556.4160346984863
C1-C10,2400,3072,43,2556,240,240,240,240,240,240,240,240,240,240,2395,3072,28,2844,1087,275,224,92,13,113,32,32,425,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.049999475479126,4795.0,5400.679111480713,2844.2630767822266
C2-C3,2396,3072,11,2513,187,116,153,465,25,257,874,130,36,153,2400,3072,39,2578,240,240,240,240,240,240,240,240,240,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.830000162124634,4796.0,5091.447591781616,2578.1447887420654
