Client_ID,DataVolume(Samples),FeatureCount,Local_Accuracy(%),Latency(ms),Label_0_Count,Label_1_Count,Label_2_Count,Label_3_Count,Label_4_Count,Label_5_Count,Label_6_Count,Label_7_Count,Label_8_Count,Label_9_Count
1,2400,3072,43.66,2556.42,240,240,240,240,240,240,240,240,240,240
2,2396,3072,11.26,2513.3,187,116,153,465,25,257,874,130,36,153
3,2400,3072,39.87,2578.14,240,240,240,240,240,240,240,240,240,240
4,2394,3072,30.79,2748.65,5,1115,245,131,68,127,154,68,446,35
5,2400,3072,11.12,2459.37,233,229,254,242,227,237,262,245,232,239
6,2396,3072,14.96,2550.44,239,467,87,392,60,63,465,209,164,250
7,2400,3072,11.75,2583.42,240,240,240,240,240,240,240,240,240,240
8,2396,3072,31.25,2646.87,1,1,84,744,10,22,509,134,231,660
9,2400,3072,41.61,2521.06,237,226,246,243,223,251,263,236,228,247
10,2395,3072,28.29,2844.26,1087,275,224,92,13,113,32,32,425,102
11,2400,3072,42.17,2628.77,240,240,240,240,240,240,240,240,240,240
12,2396,3072,39.28,2642.66,240,317,301,451,209,414,99,96,170,99
13,2400,3072,40.49,2642.54,240,240,240,240,240,240,240,240,240,240
14,2395,3072,32.52,2595.56,130,778,347,56,22,39,411,80,25,507
15,2400,3072,41.97,2559.04,240,240,240,240,240,240,240,240,240,240
16,2397,3072,23.52,2594.47,1,1,241,32,99,1,509,4,1503,6
17,2400,3072,44.21,2904.11,240,240,240,240,240,240,240,240,240,240
18,2395,3072,21.24,2678.05,1,1,383,248,850,245,25,483,33,126
19,2400,3072,46.09,2529.11,240,240,240,240,240,240,240,240,240,240
20,2397,3072,40.11,2618.15,20,559,68,322,35,87,575,334,143,254
21,2400,3072,45.47,2645.19,240,240,240,240,240,240,240,240,240,240
22,2394,3072,36.16,2645.69,507,224,409,348,183,91,162,226,163,81
23,2400,3072,39.49,2595.49,240,240,240,240,240,240,240,240,240,240
24,2395,3072,31.35,2583.2,329,230,831,114,212,281,214,19,140,25
25,2400,3072,40.98,2916.7,240,240,240,240,240,240,240,240,240,240
