New_Combination,Global_Accuracy(%),Global_DataVolume,Global_Latency_Sum(ms),Global_RoundTime_Max(ms),Computation_Time(ms)
C3-C8-C10-C16-C17,11.180000007152557,11988,12959.092378616333,2641.251564025879,19349.068641662598
C1-C6-C8-C15-C19,11.029999703168869,11992,13730.721712112427,3151.134967803955,20025.508880615234
C4-C6-C7-C17-C19,14.329999685287476,11990,12937.634468078613,2622.507333755493,19156.556844711304
C2-C5-C8-C10-C16,13.429999351501465,11984,13882.881164550781,3233.234405517578,20090.104341506958
C2-C6-C8-C15-C18,13.079999387264252,11983,13099.066734313965,2651.8607139587402,19215.24930000305
C4-C5-C8-C20-C21,12.439999729394913,11987,13895.065069198608,3310.877561569214,20046.32520675659
C1-C3-C4-C7-C17,14.350000023841858,11994,12825.616359710693,2635.0343227386475,19240.69380760193
C1-C2-C7-C10-C17,11.159999668598175,11991,12903.606653213501,2641.298532485962,19050.46772956848
C1-C4-C8-C10-C21,15.42000025510788,11985,13110.679388046265,2687.825918197632,20138.333559036255
C3-C9-C10-C20-C24,8.739999681711197,11987,13088.124752044678,2655.9016704559326,19162.13369369507
C1-C5-C6-C15-C17,17.080000042915344,11996,12998.116493225098,2672.536849975586,19346.064805984497
C2-C5-C10-C15-C19,11.129999905824661,11991,13004.143953323364,2632.6253414154053,20054.60262298584
C2-C5-C6-C8-C17,12.250000238418579,11988,12933.797359466553,2685.6069564819336,19562.15524673462
C2-C6-C8-C16-C19,12.690000236034393,11985,12849.936246871948,2658.926010131836,19160.26759147644
C1-C7-C9-C20-C22,14.360000193119049,11991,13079.57124710083,2640.288829803467,19280.731439590454
C6-C9-C10-C16-C19,11.51999980211258,11988,14084.830045700073,3585.799217224121,20392.28868484497
C1-C2-C8-C20-C21,13.809999823570251,11989,12900.336980819702,2672.9471683502197,19199.607849121094
C2-C8-C10-C21-C22,13.050000369548798,11981,12882.589340209961,2664.0405654907227,19043.8551902771
C4-C7-C9-C17-C20,11.68999969959259,11991,12904.26778793335,2653.4478664398193,19319.424152374268
C3-C4-C8-C10-C18,11.190000176429749,11980,14592.739582061768,3922.452926635742,20447.741508483887
C2-C5-C9-C10-C22,13.62999975681305,11985,12754.07886505127,2690.5107498168945,18772.473335266113
C2-C7-C8-C16-C19,11.800000071525574,11989,13052.495956420898,2664.241075515747,19113.17205429077
C7-C8-C9-C18-C24,11.429999768733978,11986,12872.671842575073,2665.5349731445312,19057.530879974365
C1-C6-C8-C16-C23,17.329999804496765,11989,12828.603982925415,2676.0473251342773,19199.24283027649
C1-C2-C6-C15-C20,10.769999772310257,11989,14189.883708953857,3825.7205486297607,20620.828866958618
C3-C4-C10-C22-C25,11.569999903440475,11983,13175.081491470337,2673.7220287323,19378.262758255005
C1-C2-C6-C21-C24,12.81999945640564,11987,12988.204002380371,2650.4273414611816,19682.32250213623
C2-C7-C8-C10-C17,11.840000003576279,11987,13123.030185699463,2662.1696949005127,19179.271459579468
C4-C7-C8-C20-C23,11.37000024318695,11987,13111.700534820557,2651.0536670684814,19080.873727798462
C4-C6-C8-C15-C20,13.040000200271606,11983,12927.274227142334,2652.9381275177,19147.580862045288
C3-C7-C10-C16-C24,11.180000007152557,11987,14544.577360153198,4152.545213699341,21106.887102127075
C1-C3-C6-C18-C24,9.189999848604202,11986,13153.539896011353,2664.8800373077393,19509.286403656006
C6-C7-C9-C21-C25,11.490000039339066,11996,13037.9056930542,2655.6642055511475,19155.450582504272
C3-C6-C7-C22-C23,12.00999990105629,11990,13118.18814277649,2653.510332107544,19472.386121749878
C5-C9-C10-C21-C25,11.289999634027481,11995,13056.397914886475,2670.6387996673584,19125.08749961853
C1-C4-C8-C24-C25,8.789999783039093,11985,13027.222156524658,2668.644905090332,19260.35213470459
C1-C8-C9-C10-C17,11.20000034570694,11991,13084.519147872925,2689.4819736480713,19257.11154937744
C3-C4-C5-C10-C17,12.409999966621399,11989,15219.345569610596,4487.873315811157,21686.177253723145
C3-C4-C8-C10-C21,11.240000277757645,11985,13091.715097427368,2675.743818283081,19528.14793586731
C1-C6-C10-C24-C25,13.379999995231628,11986,13013.370752334595,2673.7916469573975,19264.05382156372
C5-C8-C10-C23-C24,9.300000220537186,11986,12980.558633804321,2672.2912788391113,19355.714797973633
C2-C3-C8-C23-C24,11.20000034570694,11987,12968.399286270142,2712.6848697662354,19448.363304138184
C2-C4-C5-C7-C16,12.460000067949295,11987,13028.327226638794,2681.514263153076,19417.604207992554
C1-C4-C5-C8-C23,11.469999700784683,11990,13298.778057098389,2789.7021770477295,19635.823965072632
C1-C2-C9-C18-C22,12.380000203847885,11985,12982.980012893677,2690.6814575195312,18877.92921066284
C3-C5-C6-C9-C15,11.20000034570694,11996,13059.232473373413,2705.9884071350098,21440.333604812622
C1-C3-C6-C16-C24,11.28000020980835,11988,13404.21438217163,2720.2889919281006,19868.932962417603
C2-C5-C9-C17-C21,11.699999868869781,11996,13483.670234680176,2736.431837081909,19634.938716888428
C6-C7-C9-C16-C25,14.53000009059906,11993,13303.967714309692,2735.7177734375,19448.604822158813
C1-C4-C7-C17-C24,11.739999800920486,11989,13135.945320129395,2700.8602619171143,19351.919889450073
C1-C2-C5-C8-C25,11.93000003695488,11992,13093.891859054565,2690.7639503479004,19463.175296783447
C1-C3-C9-C20-C24,11.909999698400497,11992,13279.011964797974,2682.795286178589,19327.376127243042
C4-C7-C8-C16-C24,11.779999732971191,11982,13147.355794906616,2703.9473056793213,19283.98609161377
C2-C8-C9-C20-C22,13.369999825954437,11983,13064.623355865479,2701.536178588867,19278.337001800537
C5-C7-C9-C10-C16,16.64000004529953,11992,16123.636484146118,5427.318811416626,22623.891830444336
C2-C3-C7-C18-C20,11.270000040531158,11988,13263.91863822937,2750.3347396850586,19543.397188186646
C2-C8-C9-C22-C23,11.550000309944153,11986,13455.323696136475,2725.7347106933594,19498.48461151123
C1-C2-C4-C20-C21,14.049999415874481,11987,13325.782060623169,2721.806526184082,19540.728092193604
C3-C5-C10-C17-C20,14.090000092983246,11992,13370.004177093506,2694.874048233032,19650.85792541504
C3-C7-C9-C22-C24,11.829999834299088,11989,13265.315771102905,2735.2964878082275,19561.665296554565
C4-C5-C8-C16-C25,12.120000272989273,11987,13221.758127212524,2699.704885482788,19588.87553215027
C7-C8-C10-C15-C18,10.999999940395355,11986,13294.433116912842,2704.2391300201416,19582.902669906616
C3-C7-C10-C17-C24,11.779999732971191,11990,13225.347995758057,2720.2796936035156,19511.215686798096
C1-C5-C6-C9-C22,13.3200004696846,11990,13030.423879623413,2693.0437088012695,19423.983335494995
C1-C2-C7-C15-C18,11.219999939203262,11991,16673.91085624695,5916.4605140686035,23002.42018699646
C4-C7-C9-C10-C25,11.37000024318695,11989,13666.50390625,2766.0067081451416,19918.060064315796
C2-C3-C6-C8-C25,13.449999690055847,11988,13389.913558959961,2754.2128562927246,19938.217878341675
C6-C7-C8-C17-C23,13.70999962091446,11992,13449.128150939941,2723.942518234253,19945.417165756226
C3-C4-C7-C9-C17,17.149999737739563,11994,13486.00721359253,2743.6182498931885,19706.31170272827
C5-C6-C10-C18-C25,11.37000024318695,11986,13429.036378860474,2725.5938053131104,19805.14645576477
C2-C4-C9-C15-C16,14.470000565052032,11987,13373.395442962646,2696.2692737579346,19529.369592666626
C2-C3-C8-C18-C25,11.85000017285347,11987,13274.393081665039,2723.2718467712402,19722.233057022095
C4-C6-C7-C16-C18,11.079999804496765,11982,13089.396476745605,2693.084716796875,19541.396379470825
C3-C8-C10-C17-C20,11.180000007152557,11988,12751.3587474823,2696.4144706726074,18567.723035812378
C1-C2-C8-C16-C18,11.420000344514847,11984,13218.857765197754,2722.862720489502,19557.01446533203
C2-C6-C10-C15-C24,10.849999636411667,11982,13274.808883666992,2741.779565811157,19539.28017616272
C2-C6-C9-C16-C25,13.429999351501465,11989,13520.960092544556,2768.1572437286377,19844.58899497986
C4-C6-C10-C17-C25,15.940000116825104,11985,17355.67593574524,6454.310178756714,24169.883728027344
C1-C3-C9-C21-C25,8.879999816417694,12000,13560.40072441101,2790.900707244873,20160.730361938477
C1-C4-C8-C10-C22,12.610000371932983,11979,13751.055002212524,2768.4950828552246,20248.220682144165
C1-C3-C7-C17-C18,13.429999351501465,11995,13657.90843963623,2774.015188217163,19893.260955810547
C3-C5-C9-C20-C21,12.02000007033348,11997,13453.340530395508,2749.79567527771,19780.760288238525
C1-C7-C9-C16-C23,13.740000128746033,11997,13555.487155914307,2754.0810108184814,19707.75818824768
C4-C5-C10-C20-C23,19.07999962568283,11986,13609.078884124756,2752.120018005371,19844.602346420288
C5-C6-C9-C15-C20,14.630000293254852,11993,13426.517724990845,2718.2159423828125,19931.40435218811
C3-C5-C10-C20-C23,8.579999953508377,11992,13413.421392440796,2768.028974533081,19926.120042800903
C2-C6-C8-C15-C22,15.230000019073486,11982,13271.42333984375,2731.7004203796387,19721.83322906494
C3-C4-C5-C16-C19,11.999999731779099,11991,13419.514656066895,2757.2855949401855,20097.05638885498
C1-C2-C3-C7-C25,15.999999642372131,11996,13782.74416923523,2787.9629135131836,19968.539714813232
