,Unnamed: 0,Combination,C1_DataVolume(MB),C1_FeatureCount,C1_Accuracy(%),C1_Latency(ms),C1_Label0,C1_Label1,C1_Label2,C1_Label3,C1_Label4,C1_Label5,C1_Label6,C1_Label7,C1_Label8,C1_Label9,C2_DataVolume(MB),C2_FeatureCount,C2_Accuracy(%),C2_Latency(ms),C2_Label0,C2_Label1,C2_Label2,C2_Label3,C2_Label4,C2_Label5,C2_Label6,C2_Label7,C2_Label8,C2_Label9,C3_DataVolume(MB),C3_FeatureCount,C3_Accuracy(%),C3_Latency(ms),C3_Label0,C3_Label1,C3_Label2,C3_Label3,C3_Label4,C3_Label5,C3_Label6,C3_Label7,C3_Label8,C3_Label9,C4_DataVolume(MB),C4_FeatureCount,C4_Accuracy(%),C4_Latency(ms),C4_Label0,C4_Label1,C4_Label2,C4_Label3,C4_Label4,C4_Label5,C4_Label6,C4_Label7,C4_Label8,C4_Label9,C5_DataVolume(MB),C5_FeatureCount,C5_Accuracy(%),C5_Latency(ms),C5_Label0,C5_Label1,C5_Label2,C5_Label3,C5_Label4,C5_Label5,C5_Label6,C5_Label7,C5_Label8,C5_Label9,Global_Accuracy(%),Global_DataVolume,Global_Latency_Sum(ms),Global_RoundTime_Max(ms),Combo_List,Old_Combination,New_Combination,Old_Length,_set,_key,normalized_combinations
4575,12000,C3-C8-C10,2400.0,3072.0,39.87,2578.14,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,2396.0,3072.0,31.25,2646.87,1.0,1.0,84.0,744.0,10.0,22.0,509.0,134.0,231.0,660.0,2395.0,3072.0,28.29,2844.26,1087.0,275.0,224.0,92.0,13.0,113.0,32.0,32.0,425.0,102.0,2397.0,3072.0,23.52,2594.47,1.0,1.0,241.0,32.0,99.0,1.0,509.0,4.0,1503.0,6.0,2400.0,3072.0,44.21,2904.11,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,33.428,11988.0,13567.85,2904.11,0.0,C3-C8-C10,C3-C8-C10-C16-C17,3,"frozenset({3, 8, 10, 16, 17})","(3, 8, 10, 16, 17)","3,8,10,16,17"
1488,8913,C1-C6-C8,2400.0,3072.0,43.66,2556.42,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,2396.0,3072.0,14.96,2550.44,239.0,467.0,87.0,392.0,60.0,63.0,465.0,209.0,164.0,250.0,2396.0,3072.0,31.25,2646.87,1.0,1.0,84.0,744.0,10.0,22.0,509.0,134.0,231.0,660.0,2400.0,3072.0,41.97,2559.04,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,2400.0,3072.0,46.09,2529.11,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,35.586,11992.0,12841.88,2646.87,0.0,C1-C6-C8,C1-C6-C8-C15-C19,3,"frozenset({1, 6, 8, 15, 19})","(1, 6, 8, 15, 19)","1,6,8,15,19"
4970,12395,C4-C6-C7,2394.0,3072.0,30.79,2748.65,5.0,1115.0,245.0,131.0,68.0,127.0,154.0,68.0,446.0,35.0,2396.0,3072.0,14.96,2550.44,239.0,467.0,87.0,392.0,60.0,63.0,465.0,209.0,164.0,250.0,2400.0,3072.0,11.75,2583.42,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,2400.0,3072.0,44.21,2904.11,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,2400.0,3072.0,46.09,2529.11,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,29.56,11990.0,13315.73,2904.11,0.0,C4-C6-C7,C4-C6-C7-C17-C19,3,"frozenset({4, 6, 7, 17, 19})","(4, 6, 7, 17, 19)","4,6,7,17,19"
8009,15434,C2-C5-C8-C10,2396.0,3072.0,11.26,2513.3,187.0,116.0,153.0,465.0,25.0,257.0,874.0,130.0,36.0,153.0,2400.0,3072.0,11.12,2459.37,233.0,229.0,254.0,242.0,227.0,237.0,262.0,245.0,232.0,239.0,2396.0,3072.0,31.25,2646.87,1.0,1.0,84.0,744.0,10.0,22.0,509.0,134.0,231.0,660.0,2395.0,3072.0,28.29,2844.26,1087.0,275.0,224.0,92.0,13.0,113.0,32.0,32.0,425.0,102.0,2397.0,3072.0,23.52,2594.47,1.0,1.0,241.0,32.0,99.0,1.0,509.0,4.0,1503.0,6.0,21.088,11984.0,13058.27,2844.26,0.0,C2-C5-C8-C10,C2-C5-C8-C10-C16,4,"frozenset({2, 5, 8, 10, 16})","(2, 5, 8, 10, 16)","2,5,8,10,16"
3027,10452,C2-C6-C8,2396.0,3072.0,11.26,2513.3,187.0,116.0,153.0,465.0,25.0,257.0,874.0,130.0,36.0,153.0,2396.0,3072.0,14.96,2550.44,239.0,467.0,87.0,392.0,60.0,63.0,465.0,209.0,164.0,250.0,2396.0,3072.0,31.25,2646.87,1.0,1.0,84.0,744.0,10.0,22.0,509.0,134.0,231.0,660.0,2400.0,3072.0,41.97,2559.04,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,2395.0,3072.0,21.24,2678.05,1.0,1.0,383.0,248.0,850.0,245.0,25.0,483.0,33.0,126.0,24.136,11983.0,12947.7,2678.05,0.0,C2-C6-C8,C2-C6-C8-C15-C18,3,"frozenset({2, 6, 8, 15, 18})","(2, 6, 8, 15, 18)","2,6,8,15,18"
4825,12250,C4-C5-C8,2394.0,3072.0,30.79,2748.65,5.0,1115.0,245.0,131.0,68.0,127.0,154.0,68.0,446.0,35.0,2400.0,3072.0,11.12,2459.37,233.0,229.0,254.0,242.0,227.0,237.0,262.0,245.0,232.0,239.0,2396.0,3072.0,31.25,2646.87,1.0,1.0,84.0,744.0,10.0,22.0,509.0,134.0,231.0,660.0,2397.0,3072.0,40.11,2618.15,20.0,559.0,68.0,322.0,35.0,87.0,575.0,334.0,143.0,254.0,2400.0,3072.0,45.47,2645.19,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,31.748,11987.0,13118.23,2748.65,0.0,C4-C5-C8,C4-C5-C8-C20-C21,3,"frozenset({4, 5, 8, 20, 21})","(4, 5, 8, 20, 21)","4,5,8,20,21"
6932,14357,C1-C3-C4-C7,2400.0,3072.0,43.66,2556.42,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,2400.0,3072.0,39.87,2578.14,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,2394.0,3072.0,30.79,2748.65,5.0,1115.0,245.0,131.0,68.0,127.0,154.0,68.0,446.0,35.0,2400.0,3072.0,11.75,2583.42,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,2400.0,3072.0,44.21,2904.11,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,34.056,11994.0,13370.74,2904.11,0.0,C1-C3-C4-C7,C1-C3-C4-C7-C17,4,"frozenset({1, 3, 4, 7, 17})","(1, 3, 4, 7, 17)","1,3,4,7,17"
6866,14291,C1-C2-C7-C10,2400.0,3072.0,43.66,2556.42,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,2396.0,3072.0,11.26,2513.3,187.0,116.0,153.0,465.0,25.0,257.0,874.0,130.0,36.0,153.0,2400.0,3072.0,11.75,2583.42,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,2395.0,3072.0,28.29,2844.26,1087.0,275.0,224.0,92.0,13.0,113.0,32.0,32.0,425.0,102.0,2400.0,3072.0,44.21,2904.11,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,27.834,11991.0,13401.510000000002,2904.11,0.0,C1-C2-C7-C10,C1-C2-C7-C10-C17,4,"frozenset({1, 2, 7, 10, 17})","(1, 2, 7, 10, 17)","1,2,7,10,17"
7288,14713,C1-C4-C8-C10,2400.0,3072.0,43.66,2556.42,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,2394.0,3072.0,30.79,2748.65,5.0,1115.0,245.0,131.0,68.0,127.0,154.0,68.0,446.0,35.0,2396.0,3072.0,31.25,2646.87,1.0,1.0,84.0,744.0,10.0,22.0,509.0,134.0,231.0,660.0,2395.0,3072.0,28.29,2844.26,1087.0,275.0,224.0,92.0,13.0,113.0,32.0,32.0,425.0,102.0,2400.0,3072.0,45.47,2645.19,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,35.892,11985.0,13441.39,2844.26,0.0,C1-C4-C8-C10,C1-C4-C8-C10-C21,4,"frozenset({1, 4, 8, 10, 21})","(1, 4, 8, 10, 21)","1,4,8,10,21"
4663,12088,C3-C9-C10,2400.0,3072.0,39.87,2578.14,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,2400.0,3072.0,41.61,2521.06,237.0,226.0,246.0,243.0,223.0,251.0,263.0,236.0,228.0,247.0,2395.0,3072.0,28.29,2844.26,1087.0,275.0,224.0,92.0,13.0,113.0,32.0,32.0,425.0,102.0,2397.0,3072.0,40.11,2618.15,20.0,559.0,68.0,322.0,35.0,87.0,575.0,334.0,143.0,254.0,2395.0,3072.0,31.35,2583.2,329.0,230.0,831.0,114.0,212.0,281.0,214.0,19.0,140.0,25.0,36.246,11987.0,13144.81,2844.26,0.0,C3-C9-C10,C3-C9-C10-C20-C24,3,"frozenset({3, 9, 10, 20, 24})","(3, 9, 10, 20, 24)","3,9,10,20,24"
1156,8581,C1-C5-C6,2400.0,3072.0,43.66,2556.42,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,2400.0,3072.0,11.12,2459.37,233.0,229.0,254.0,242.0,227.0,237.0,262.0,245.0,232.0,239.0,2396.0,3072.0,14.96,2550.44,239.0,467.0,87.0,392.0,60.0,63.0,465.0,209.0,164.0,250.0,2400.0,3072.0,41.97,2559.04,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,2400.0,3072.0,44.21,2904.11,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,31.184,11996.0,13029.38,2904.11,0.0,C1-C5-C6,C1-C5-C6-C15-C17,3,"frozenset({1, 5, 6, 15, 17})","(1, 5, 6, 15, 17)","1,5,6,15,17"
2918,10343,C2-C5-C10,2396.0,3072.0,11.26,2513.3,187.0,116.0,153.0,465.0,25.0,257.0,874.0,130.0,36.0,153.0,2400.0,3072.0,11.12,2459.37,233.0,229.0,254.0,242.0,227.0,237.0,262.0,245.0,232.0,239.0,2395.0,3072.0,28.29,2844.26,1087.0,275.0,224.0,92.0,13.0,113.0,32.0,32.0,425.0,102.0,2400.0,3072.0,41.97,2559.04,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,2400.0,3072.0,46.09,2529.11,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,27.746,11991.0,12905.080000000002,2844.26,0.0,C2-C5-C10,C2-C5-C10-C15-C19,3,"frozenset({2, 5, 10, 15, 19})","(2, 5, 10, 15, 19)","2,5,10,15,19"
7933,15358,C2-C5-C6-C8,2396.0,3072.0,11.26,2513.3,187.0,116.0,153.0,465.0,25.0,257.0,874.0,130.0,36.0,153.0,2400.0,3072.0,11.12,2459.37,233.0,229.0,254.0,242.0,227.0,237.0,262.0,245.0,232.0,239.0,2396.0,3072.0,14.96,2550.44,239.0,467.0,87.0,392.0,60.0,63.0,465.0,209.0,164.0,250.0,2396.0,3072.0,31.25,2646.87,1.0,1.0,84.0,744.0,10.0,22.0,509.0,134.0,231.0,660.0,2400.0,3072.0,44.21,2904.11,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,22.56,11988.0,13074.09,2904.11,0.0,C2-C5-C6-C8,C2-C5-C6-C8-C17,4,"frozenset({2, 5, 6, 8, 17})","(2, 5, 6, 8, 17)","2,5,6,8,17"
3037,10462,C2-C6-C8,2396.0,3072.0,11.26,2513.3,187.0,116.0,153.0,465.0,25.0,257.0,874.0,130.0,36.0,153.0,2396.0,3072.0,14.96,2550.44,239.0,467.0,87.0,392.0,60.0,63.0,465.0,209.0,164.0,250.0,2396.0,3072.0,31.25,2646.87,1.0,1.0,84.0,744.0,10.0,22.0,509.0,134.0,231.0,660.0,2397.0,3072.0,23.52,2594.47,1.0,1.0,241.0,32.0,99.0,1.0,509.0,4.0,1503.0,6.0,2400.0,3072.0,46.09,2529.11,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,25.416,11985.0,12834.19,2646.87,0.0,C2-C6-C8,C2-C6-C8-C16-C19,3,"frozenset({2, 6, 8, 16, 19})","(2, 6, 8, 16, 19)","2,6,8,16,19"
1746,9171,C1-C7-C9,2400.0,3072.0,43.66,2556.42,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,2400.0,3072.0,11.75,2583.42,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,2400.0,3072.0,41.61,2521.06,237.0,226.0,246.0,243.0,223.0,251.0,263.0,236.0,228.0,247.0,2397.0,3072.0,40.11,2618.15,20.0,559.0,68.0,322.0,35.0,87.0,575.0,334.0,143.0,254.0,2394.0,3072.0,36.16,2645.69,507.0,224.0,409.0,348.0,183.0,91.0,162.0,226.0,163.0,81.0,34.658,11991.0,12924.74,2645.69,0.0,C1-C7-C9,C1-C7-C9-C20-C22,3,"frozenset({1, 7, 9, 20, 22})","(1, 7, 9, 20, 22)","1,7,9,20,22"
6337,13762,C6-C9-C10,2396.0,3072.0,14.96,2550.44,239.0,467.0,87.0,392.0,60.0,63.0,465.0,209.0,164.0,250.0,2400.0,3072.0,41.61,2521.06,237.0,226.0,246.0,243.0,223.0,251.0,263.0,236.0,228.0,247.0,2395.0,3072.0,28.29,2844.26,1087.0,275.0,224.0,92.0,13.0,113.0,32.0,32.0,425.0,102.0,2397.0,3072.0,23.52,2594.47,1.0,1.0,241.0,32.0,99.0,1.0,509.0,4.0,1503.0,6.0,2400.0,3072.0,46.09,2529.11,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,30.894,11988.0,13039.34,2844.26,0.0,C6-C9-C10,C6-C9-C10-C16-C19,3,"frozenset({6, 9, 10, 16, 19})","(6, 9, 10, 16, 19)","6,9,10,16,19"
