Combination,C1_DataVolume(MB),C1_FeatureCount,C1_Accuracy(%),C1_Latency(ms),C1_Label0,C1_Label1,C1_Label2,C1_Label3,C1_Label4,C1_Label5,C1_Label6,C1_Label7,C1_Label8,C1_Label9,C2_DataVolume(MB),C2_FeatureCount,C2_Accuracy(%),C2_Latency(ms),C2_Label0,C2_Label1,C2_Label2,C2_Label3,C2_Label4,C2_Label5,C2_Label6,C2_Label7,C2_Label8,C2_Label9,C3_DataVolume(MB),C3_FeatureCount,C3_Accuracy(%),C3_Latency(ms),C3_Label0,C3_Label1,C3_Label2,C3_Label3,C3_Label4,C3_Label5,C3_Label6,C3_Label7,C3_Label8,C3_Label9,C4_DataVolume(MB),C4_FeatureCount,C4_Accuracy(%),C4_Latency(ms),C4_Label0,C4_Label1,C4_Label2,C4_Label3,C4_Label4,C4_Label5,C4_Label6,C4_Label7,C4_Label8,C4_Label9,C5_DataVolume(MB),C5_FeatureCount,C5_Accuracy(%),C5_Latency(ms),C5_Label0,C5_Label1,C5_Label2,C5_Label3,C5_Label4,C5_Label5,C5_Label6,C5_Label7,C5_Label8,C5_Label9,Global_Accuracy(%),Global_DataVolume,Global_Latency_Sum(ms),Global_RoundTime_Max(ms)
C1-C2,2800,784,84,1747,280,280,280,280,280,280,280,280,280,280,2795,784,77,1701,68,431,274,551,276,231,333,282,147,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.360002517700195,5595.0,3449.641466140747,1747.7309703826904
C1-C3,2800,784,84,1747,280,280,280,280,280,280,280,280,280,280,2800,784,77,1695,280,280,280,280,280,280,280,280,280,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.56999731063843,5600.0,3443.0978298187256,1747.7309703826904
C1-C4,2800,784,84,1747,280,280,280,280,280,280,280,280,280,280,2795,784,71,1696,585,420,100,308,100,31,117,143,546,445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.27000021934509,5595.0,3444.265127182007,1747.7309703826904
C1-C5,2800,784,84,1747,280,280,280,280,280,280,280,280,280,280,2800,784,74,1805,282,277,267,271,271,292,295,277,285,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.03999996185303,5600.0,3553.3361434936523,1805.605173110962
C1-C6,2800,784,84,1747,280,280,280,280,280,280,280,280,280,280,2796,784,65,1706,251,483,422,365,354,138,150,268,91,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.38999938964844,5596.0,3454.4801712036133,1747.7309703826904
C1-C7,2800,784,84,1747,280,280,280,280,280,280,280,280,280,280,2800,784,80,1693,280,280,280,280,280,280,280,280,280,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.19000041484833,5600.0,3441.650629043579,1747.7309703826904
C1-C8,2800,784,84,1747,280,280,280,280,280,280,280,280,280,280,2796,784,65,1680,44,223,1,1940,67,138,15,168,115,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76000142097473,5596.0,3428.373336791992,1747.7309703826904
C1-C9,2800,784,84,1747,280,280,280,280,280,280,280,280,280,280,2800,784,82,1672,274,270,285,263,275,279,297,285,283,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.809999108314514,5600.0,3420.145034790039,1747.7309703826904
C1-C10,2800,784,84,1747,280,280,280,280,280,280,280,280,280,280,2795,784,75,1676,192,242,297,12,602,199,288,415,179,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.06000018119812,5595.0,3424.074411392212,1747.7309703826904
C2-C3,2795,784,77,1701,68,431,274,551,276,231,333,282,147,202,2800,784,77,1695,280,280,280,280,280,280,280,280,280,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.96999943256378,5595.0,3397.277355194092,1701.9104957580566
