New_Combination,Global_Accuracy(%),Global_DataVolume,Global_Latency_Sum(ms),Global_RoundTime_Max(ms),Computation_Time(ms)
C3-C8-C10-C16-C17,25.90000033378601,13987,9531.718492507935,1993.1797981262207,13487.469673156738
C1-C6-C8-C15-C19,40.02000093460083,13992,9280.577898025513,1882.5345039367676,13543.58720779419
C4-C6-C7-C17-C19,28.24000120162964,13991,9349.32804107666,1924.076795578003,13384.964942932129
C2-C5-C8-C10-C16,32.19999969005585,13982,9202.59976387024,1865.5555248260498,13121.19436264038
C2-C6-C8-C15-C18,35.92999875545502,13982,9780.948400497437,2299.623966217041,13667.884111404419
C4-C5-C8-C20-C21,30.550000071525574,13985,9251.621961593628,1869.2350387573242,13189.44525718689
C1-C3-C4-C7-C17,28.510001301765442,13995,9281.166791915894,1887.7997398376465,13674.821853637695
C1-C2-C7-C10-C17,48.28000068664551,13990,9380.333662033081,1908.6582660675049,13340.578556060791
C1-C4-C8-C10-C21,36.730000376701355,13986,9218.148231506348,1875.0925064086914,13124.59683418274
C3-C9-C10-C20-C24,37.85000145435333,13984,9233.330011367798,1883.5818767547607,13123.433589935303
C1-C5-C6-C15-C17,49.54000115394592,13996,10033.486366271973,2501.3439655303955,13912.676095962524
C2-C5-C10-C15-C19,35.74000000953674,13990,9322.100400924683,1886.441707611084,13121.017456054688
C2-C5-C6-C8-C17,25.369998812675476,13987,9219.074249267578,1885.901689529419,13160.385608673096
C2-C6-C8-C16-C19,25.339999794960022,13983,10086.840867996216,2674.398183822632,13991.379976272583
C1-C7-C9-C20-C22,53.049999475479126,13989,9300.70447921753,1875.3280639648438,13244.234561920166
C6-C9-C10-C16-C19,40.950000286102295,13987,9130.377769470215,1868.4535026550293,12944.243907928467
C1-C2-C8-C20-C21,27.500000596046448,13985,9250.488758087158,1874.0565776824951,13069.974660873413
C2-C8-C10-C21-C22,24.639999866485596,13981,9296.919822692871,1876.2924671173096,14039.774417877197
C4-C7-C9-C17-C20,40.41999876499176,13989,9374.948501586914,1904.5777320861816,13157.505989074707
C3-C4-C8-C10-C18,33.070001006126404,13981,9261.213541030884,1879.4643878936768,13128.395318984985
C2-C5-C9-C10-C22,18.960000574588776,13985,9208.34755897522,1849.6241569519043,13107.40876197815
C2-C7-C8-C16-C19,38.53999972343445,13987,9254.252910614014,1894.120693206787,13128.856182098389
C7-C8-C9-C18-C24,20.800000429153442,13986,10388.141870498657,2895.4415321350098,14220.31831741333
C1-C6-C8-C16-C23,19.220000505447388,13988,9433.213233947754,1911.5655422210693,13365.354061126709
C1-C2-C6-C15-C20,31.83000087738037,13985,9241.409540176392,1883.528470993042,13181.747198104858
C3-C4-C10-C22-C25,36.14000082015991,13985,9288.519620895386,1879.9242973327637,13110.743045806885
C1-C2-C6-C21-C24,45.989999175071716,13986,9306.514024734497,1880.659818649292,13300.196170806885
C2-C7-C8-C10-C17,40.380001068115234,13986,9354.806900024414,1897.947072982788,13227.213144302368
C4-C7-C8-C20-C23,29.71000075340271,13985,10591.80760383606,3146.940231323242,14636.674404144287
C4-C6-C8-C15-C20,37.049999833106995,13981,9280.538558959961,1890.6526565551758,13171.43702507019
C3-C7-C10-C16-C24,36.71000003814697,13986,9231.513500213623,1905.602216720581,13141.85643196106
C1-C3-C6-C18-C24,29.840001463890076,13986,9242.195129394531,1867.248773574829,13214.793682098389
C6-C7-C9-C21-C25,29.190000891685486,13996,9241.790294647217,1880.6374073028564,13022.576570510864
C3-C6-C7-C22-C23,17.810000479221344,13991,9142.725229263306,1851.6185283660889,13044.831991195679
C5-C9-C10-C21-C25,36.149999499320984,13995,10739.776611328125,3291.931390762329,14773.22769165039
C1-C4-C8-C24-C25,31.749999523162842,13986,9145.572423934937,1938.523769378662,12860.530853271484
C1-C8-C9-C10-C17,25.87999999523163,13991,8562.62493133545,1726.7930507659912,11941.548585891724
C3-C4-C5-C10-C17,20.05999982357025,13990,8451.079845428467,1715.2414321899414,11917.683362960815
C3-C4-C8-C10-C21,44.690001010894775,13986,8476.07159614563,1705.2617073059082,11873.09193611145
C1-C6-C10-C24-C25,30.340000987052917,13986,8508.236646652222,1719.1298007965088,11902.47130393982
C5-C8-C10-C23-C24,32.910001277923584,13986,9183.387517929077,1902.7769565582275,13034.524202346802
C2-C3-C8-C23-C24,37.43999898433685,13986,11232.694149017334,3692.8558349609375,15141.63088798523
C2-C4-C5-C7-C16,28.299999237060547,13986,9556.42318725586,1947.2095966339111,13471.372842788696
C1-C4-C5-C8-C23,31.16999864578247,13991,9674.885034561157,1948.5766887664795,13628.244876861572
C1-C2-C9-C18-C22,27.390000224113464,13985,9461.484909057617,1915.7545566558838,13356.76884651184
C3-C5-C6-C9-C15,32.51999914646149,13996,9348.129034042358,1889.6074295043945,13233.125925064087
C1-C3-C6-C16-C24,27.75000035762787,13987,9262.79091835022,1877.5174617767334,13156.745672225952
C2-C5-C9-C17-C21,19.5700004696846,13995,9228.642702102661,1865.738868713379,13096.377849578857
C6-C7-C9-C16-C25,37.47999966144562,13992,9190.69528579712,1855.5006980895996,13128.081560134888
C1-C4-C7-C17-C24,31.290000677108765,13990,9283.041954040527,1893.9573764801025,13224.55620765686
C1-C2-C5-C8-C25,37.43000030517578,13991,11490.261793136597,3885.0975036621094,15418.744802474976
C1-C3-C9-C20-C24,34.81000065803528,13989,9460.968732833862,1919.4142818450928,13406.66937828064
C4-C7-C8-C16-C24,34.95999872684479,13982,9369.765996932983,1892.188549041748,13394.349098205566
C2-C8-C9-C20-C22,37.18000054359436,13980,9331.961154937744,1915.989637374878,13109.292268753052
C5-C7-C9-C10-C16,32.440000772476196,13991,9339.252948760986,1898.7462520599365,13294.84224319458
C2-C3-C7-C18-C20,20.509999990463257,13984,9300.423383712769,1907.2277545928955,13137.762308120728
C2-C8-C9-C22-C23,25.24999976158142,13986,9363.378763198853,1895.169734954834,13139.18161392212
C1-C2-C4-C20-C21,32.37999975681305,13984,9288.960933685303,1899.6562957763672,13200.057029724121
C3-C5-C10-C17-C20,13.71999979019165,13989,9314.500331878662,1884.3204975128174,13252.102375030518
C3-C7-C9-C22-C24,60.54999828338623,13990,9417.681217193604,1918.0405139923096,13379.215955734253
C4-C5-C8-C16-C25,33.50000083446503,13987,11835.39891242981,4164.4127368927,15773.125410079956
C7-C8-C10-C15-C18,44.9099987745285,13986,9513.569831848145,1934.7856044769287,13518.57042312622
C3-C7-C10-C17-C24,28.850001096725464,13990,9453.412055969238,1919.9626445770264,13376.630067825317
C1-C5-C6-C9-C22,31.83000087738037,13991,9442.638397216797,1920.2020168304443,13370.081186294556
C1-C2-C7-C15-C18,22.66000062227249,13990,9383.118152618408,1888.9553546905518,13160.716772079468
C4-C7-C9-C10-C25,31.459999084472656,13990,9402.593851089478,1915.7638549804688,13320.989608764648
C2-C3-C6-C8-C25,34.290000796318054,13987,9400.264501571655,1924.2823123931885,13302.414894104004
C6-C7-C8-C17-C23,32.749998569488525,13992,9420.153141021729,1916.4164066314697,13327.30746269226
C3-C4-C7-C9-C17,34.02000069618225,13995,9399.845361709595,1903.3722877502441,13479.253768920898
C5-C6-C10-C18-C25,28.099998831748962,13986,9427.82473564148,1939.2647743225098,13406.23164176941
C2-C4-C9-C15-C16,29.109999537467957,13986,9481.408596038818,1917.8783893585205,13463.46926689148
C2-C3-C8-C18-C25,20.489999651908875,13986,9692.937135696411,1981.7993640899658,16356.873273849487
C4-C6-C7-C16-C18,25.139999389648438,13982,9824.002742767334,1998.7564086914062,13969.533443450928
C3-C8-C10-C17-C20,27.180001139640808,13985,9542.303323745728,1935.4190826416016,13576.849699020386
C1-C2-C8-C16-C18,23.250000178813934,13982,9602.373123168945,1983.2398891448975,13597.294092178345
C2-C6-C10-C15-C24,35.679998993873596,13981,9557.02543258667,1950.850486755371,13560.637474060059
C2-C6-C9-C16-C25,29.249998927116394,13987,9492.836475372314,1928.3170700073242,13454.44130897522
C4-C6-C10-C17-C25,27.2599995136261,13986,9499.095678329468,1966.867208480835,13467.459917068481
C1-C3-C9-C21-C25,29.789999127388,14000,9495.258808135986,1939.2805099487305,13486.301898956299
C1-C4-C8-C10-C22,40.00000059604645,13981,9530.15422821045,1935.1353645324707,13405.81464767456
C1-C3-C7-C17-C18,31.749999523162842,13995,9388.55767250061,1932.0669174194336,13401.815176010132
C3-C5-C9-C20-C21,36.43999993801117,13994,9394.087076187134,1917.1156883239746,13361.371755599976
C1-C7-C9-C16-C23,42.77999997138977,13996,9526.201486587524,1932.163953781128,13481.720924377441
C4-C5-C10-C20-C23,25.670000910758972,13984,9517.20643043518,1947.4506378173828,13493.77465248108
C5-C6-C9-C15-C20,30.52000105381012,13990,12948.071241378784,5196.634531021118,16971.04024887085
C3-C5-C10-C20-C23,27.59000062942505,13989,9887.154817581177,1998.5244274139404,13896.162748336792
C2-C6-C8-C15-C22,41.5800005197525,13982,9767.91262626648,1972.851037979126,13696.552038192749
C3-C4-C5-C16-C19,62.09999918937683,13991,9685.765981674194,1997.1017837524414,13790.330648422241
