Combination,C1_DataVolume(MB),C1_FeatureCount,C1_Accuracy(%),C1_Latency(ms),C1_Label0,C1_Label1,C1_Label2,C1_Label3,C1_Label4,C1_Label5,C1_Label6,C1_Label7,C1_Label8,C1_Label9,C2_DataVolume(MB),C2_FeatureCount,C2_Accuracy(%),C2_Latency(ms),C2_Label0,C2_Label1,C2_Label2,C2_Label3,C2_Label4,C2_Label5,C2_Label6,C2_Label7,C2_Label8,C2_Label9,C3_DataVolume(MB),C3_FeatureCount,C3_Accuracy(%),C3_Latency(ms),C3_Label0,C3_Label1,C3_Label2,C3_Label3,C3_Label4,C3_Label5,C3_Label6,C3_Label7,C3_Label8,C3_Label9,C4_DataVolume(MB),C4_FeatureCount,C4_Accuracy(%),C4_Latency(ms),C4_Label0,C4_Label1,C4_Label2,C4_Label3,C4_Label4,C4_Label5,C4_Label6,C4_Label7,C4_Label8,C4_Label9,C5_DataVolume(MB),C5_FeatureCount,C5_Accuracy(%),C5_Latency(ms),C5_Label0,C5_Label1,C5_Label2,C5_Label3,C5_Label4,C5_Label5,C5_Label6,C5_Label7,C5_Label8,C5_Label9,Global_Accuracy(%),Global_DataVolume,Global_Latency_Sum(ms),Global_RoundTime_Max(ms)
C1-C2,2800,784,94,2971,280,280,280,280,280,280,280,280,280,280,2795,784,74,2947,102,528,83,217,96,238,455,366,567,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.429999113082886,5595.0,5919.247150421143,2971.9860553741455
C1-C3,2800,784,94,2971,280,280,280,280,280,280,280,280,280,280,2800,784,90,2970,280,280,280,280,280,280,280,280,280,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.36999845504761,5600.0,5942.926406860352,2971.9860553741455
C1-C4,2800,784,94,2971,280,280,280,280,280,280,280,280,280,280,2794,784,71,2930,175,439,189,696,4,4,73,13,1089,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.50000047683716,5594.0,5902.8003215789795,2971.9860553741455
C1-C5,2800,784,94,2971,280,280,280,280,280,280,280,280,280,280,2800,784,84,3085,277,276,275,260,291,275,294,281,284,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.449997663497925,5600.0,6057.425737380981,3085.439682006836
C1-C6,2800,784,94,2971,280,280,280,280,280,280,280,280,280,280,2793,784,62,2932,309,112,133,262,117,133,195,78,1322,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.72999906539917,5593.0,5904.783248901367,2971.9860553741455
C1-C7,2800,784,94,2971,280,280,280,280,280,280,280,280,280,280,2800,784,85,2941,280,280,280,280,280,280,280,280,280,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.91999864578247,5600.0,5913.318872451782,2971.9860553741455
C1-C8,2800,784,94,2971,280,280,280,280,280,280,280,280,280,280,2795,784,92,2953,30,196,412,569,588,113,152,200,386,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.92999887466431,5595.0,5925.748586654663,2971.9860553741455
C1-C9,2800,784,94,2971,280,280,280,280,280,280,280,280,280,280,2800,784,88,2961,279,269,267,262,282,275,304,284,287,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.13999724388123,5600.0,5933.646440505981,2971.9860553741455
C1-C10,2800,784,94,2971,280,280,280,280,280,280,280,280,280,280,2795,784,92,2938,413,181,166,63,538,341,146,154,652,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.89999914169312,5595.0,5910.356283187866,2971.9860553741455
C2-C3,2795,784,74,2947,102,528,83,217,96,238,455,366,567,143,2800,784,90,2970,280,280,280,280,280,280,280,280,280,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.22999811172485,5595.0,5918.201446533203,2970.940351486206
