Client_ID,DataVolume(Samples),FeatureCount,Local_Accuracy(%),Latency(ms),Label_0_Count,Label_1_Count,Label_2_Count,Label_3_Count,Label_4_Count,Label_5_Count,Label_6_Count,Label_7_Count,Label_8_Count,Label_9_Count
1,2800,784,94.4,2971.99,280,280,280,280,280,280,280,280,280,280
2,2795,784,74.63,2947.26,102,528,83,217,96,238,455,366,567,143
3,2800,784,90.49,2970.94,280,280,280,280,280,280,280,280,280,280
4,2794,784,71.11,2930.81,175,439,189,696,4,4,73,13,1089,112
5,2800,784,84.33,3085.44,277,276,275,260,291,275,294,281,284,287
6,2793,784,62.61,2932.8,309,112,133,262,117,133,195,78,1322,132
7,2800,784,85.12,2941.33,280,280,280,280,280,280,280,280,280,280
8,2795,784,92.88,2953.76,30,196,412,569,588,113,152,200,386,149
9,2800,784,88.54,2961.66,279,269,267,262,282,275,304,284,287,291
10,2795,784,92.82,2938.37,413,181,166,63,538,341,146,154,652,141
11,2800,784,94.47,2935.7,280,280,280,280,280,280,280,280,280,280
12,2794,784,89.08,3097.34,600,104,478,182,14,560,375,155,299,27
13,2800,784,94.73,2939.38,280,280,280,280,280,280,280,280,280,280
14,2796,784,85.48,2961.77,1064,100,98,124,756,104,157,273,51,69
15,2800,784,92.71,2939.61,280,280,280,280,280,280,280,280,280,280
16,2795,784,91.03,2940.9,86,533,99,214,489,125,351,108,396,394
17,2800,784,92.95,2933.62,280,280,280,280,280,280,280,280,280,280
18,2795,784,93.26,2935.68,91,223,158,1194,71,582,132,78,121,145
19,2800,784,94.48,2944.29,280,280,280,280,280,280,280,280,280,280
20,2795,784,86.5,3195.43,143,364,12,119,511,471,17,580,169,409
21,2800,784,94.71,2967.08,280,280,280,280,280,280,280,280,280,280
22,2794,784,89.29,2964.83,91,283,523,47,154,290,378,331,141,556
23,2800,784,94.15,2953.87,280,280,280,280,280,280,280,280,280,280
24,2796,784,76.54,2934.74,4,7,1156,530,44,25,284,171,28,547
25,2800,784,93.96,2924.24,280,280,280,280,280,280,280,280,280,280
