,Unnamed: 0,Combination,C1_DataVolume(MB),C1_FeatureCount,C1_Accuracy(%),C1_Latency(ms),C1_Label0,C1_Label1,C1_Label2,C1_Label3,C1_Label4,C1_Label5,C1_Label6,C1_Label7,C1_Label8,C1_Label9,C2_DataVolume(MB),C2_FeatureCount,C2_Accuracy(%),C2_Latency(ms),C2_Label0,C2_Label1,C2_Label2,C2_Label3,C2_Label4,C2_Label5,C2_Label6,C2_Label7,C2_Label8,C2_Label9,C3_DataVolume(MB),C3_FeatureCount,C3_Accuracy(%),C3_Latency(ms),C3_Label0,C3_Label1,C3_Label2,C3_Label3,C3_Label4,C3_Label5,C3_Label6,C3_Label7,C3_Label8,C3_Label9,C4_DataVolume(MB),C4_FeatureCount,C4_Accuracy(%),C4_Latency(ms),C4_Label0,C4_Label1,C4_Label2,C4_Label3,C4_Label4,C4_Label5,C4_Label6,C4_Label7,C4_Label8,C4_Label9,C5_DataVolume(MB),C5_FeatureCount,C5_Accuracy(%),C5_Latency(ms),C5_Label0,C5_Label1,C5_Label2,C5_Label3,C5_Label4,C5_Label5,C5_Label6,C5_Label7,C5_Label8,C5_Label9,Global_Accuracy(%),Global_DataVolume,Global_Latency_Sum(ms),Global_RoundTime_Max(ms),Combo_List,Old_Combination,New_Combination,Old_Length,_set,_key,normalized_combinations
4575,12000,C3-C8-C10,2800.0,784.0,90.49,2970.94,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,2795.0,784.0,92.88,2953.76,30.0,196.0,412.0,569.0,588.0,113.0,152.0,200.0,386.0,149.0,2795.0,784.0,92.82,2938.37,413.0,181.0,166.0,63.0,538.0,341.0,146.0,154.0,652.0,141.0,2795.0,784.0,91.03,2940.9,86.0,533.0,99.0,214.0,489.0,125.0,351.0,108.0,396.0,394.0,2800.0,784.0,92.95,2933.62,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,92.034,13985.0,14737.59,2970.94,0.0,C3-C8-C10,C3-C8-C10-C16-C17,3,"frozenset({3, 8, 10, 16, 17})","(3, 8, 10, 16, 17)","3,8,10,16,17"
1488,8913,C1-C6-C8,2800.0,784.0,94.4,2971.99,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,2793.0,784.0,62.61,2932.8,309.0,112.0,133.0,262.0,117.0,133.0,195.0,78.0,1322.0,132.0,2795.0,784.0,92.88,2953.76,30.0,196.0,412.0,569.0,588.0,113.0,152.0,200.0,386.0,149.0,2800.0,784.0,92.71,2939.61,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,2800.0,784.0,94.48,2944.29,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,87.416,13988.0,14742.45,2971.99,0.0,C1-C6-C8,C1-C6-C8-C15-C19,3,"frozenset({1, 6, 8, 15, 19})","(1, 6, 8, 15, 19)","1,6,8,15,19"
4970,12395,C4-C6-C7,2794.0,784.0,71.11,2930.81,175.0,439.0,189.0,696.0,4.0,4.0,73.0,13.0,1089.0,112.0,2793.0,784.0,62.61,2932.8,309.0,112.0,133.0,262.0,117.0,133.0,195.0,78.0,1322.0,132.0,2800.0,784.0,85.12,2941.33,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,2800.0,784.0,92.95,2933.62,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,2800.0,784.0,94.48,2944.29,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,81.254,13987.0,14682.850000000002,2944.29,0.0,C4-C6-C7,C4-C6-C7-C17-C19,3,"frozenset({4, 6, 7, 17, 19})","(4, 6, 7, 17, 19)","4,6,7,17,19"
8009,15434,C2-C5-C8-C10,2795.0,784.0,74.63,2947.26,102.0,528.0,83.0,217.0,96.0,238.0,455.0,366.0,567.0,143.0,2800.0,784.0,84.33,3085.44,277.0,276.0,275.0,260.0,291.0,275.0,294.0,281.0,284.0,287.0,2795.0,784.0,92.88,2953.76,30.0,196.0,412.0,569.0,588.0,113.0,152.0,200.0,386.0,149.0,2795.0,784.0,92.82,2938.37,413.0,181.0,166.0,63.0,538.0,341.0,146.0,154.0,652.0,141.0,2795.0,784.0,91.03,2940.9,86.0,533.0,99.0,214.0,489.0,125.0,351.0,108.0,396.0,394.0,87.13799999999999,13980.0,14865.73,3085.44,0.0,C2-C5-C8-C10,C2-C5-C8-C10-C16,4,"frozenset({2, 5, 8, 10, 16})","(2, 5, 8, 10, 16)","2,5,8,10,16"
3027,10452,C2-C6-C8,2795.0,784.0,74.63,2947.26,102.0,528.0,83.0,217.0,96.0,238.0,455.0,366.0,567.0,143.0,2793.0,784.0,62.61,2932.8,309.0,112.0,133.0,262.0,117.0,133.0,195.0,78.0,1322.0,132.0,2795.0,784.0,92.88,2953.76,30.0,196.0,412.0,569.0,588.0,113.0,152.0,200.0,386.0,149.0,2800.0,784.0,92.71,2939.61,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,2795.0,784.0,93.26,2935.68,91.0,223.0,158.0,1194.0,71.0,582.0,132.0,78.0,121.0,145.0,83.21799999999999,13978.0,14709.11,2953.76,0.0,C2-C6-C8,C2-C6-C8-C15-C18,3,"frozenset({2, 6, 8, 15, 18})","(2, 6, 8, 15, 18)","2,6,8,15,18"
4825,12250,C4-C5-C8,2794.0,784.0,71.11,2930.81,175.0,439.0,189.0,696.0,4.0,4.0,73.0,13.0,1089.0,112.0,2800.0,784.0,84.33,3085.44,277.0,276.0,275.0,260.0,291.0,275.0,294.0,281.0,284.0,287.0,2795.0,784.0,92.88,2953.76,30.0,196.0,412.0,569.0,588.0,113.0,152.0,200.0,386.0,149.0,2795.0,784.0,86.5,3195.43,143.0,364.0,12.0,119.0,511.0,471.0,17.0,580.0,169.0,409.0,2800.0,784.0,94.71,2967.08,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,85.90599999999999,13984.0,15132.52,3195.43,0.0,C4-C5-C8,C4-C5-C8-C20-C21,3,"frozenset({4, 5, 8, 20, 21})","(4, 5, 8, 20, 21)","4,5,8,20,21"
6932,14357,C1-C3-C4-C7,2800.0,784.0,94.4,2971.99,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,2800.0,784.0,90.49,2970.94,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,2794.0,784.0,71.11,2930.81,175.0,439.0,189.0,696.0,4.0,4.0,73.0,13.0,1089.0,112.0,2800.0,784.0,85.12,2941.33,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,2800.0,784.0,92.95,2933.62,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,86.814,13994.0,14748.69,2971.99,0.0,C1-C3-C4-C7,C1-C3-C4-C7-C17,4,"frozenset({1, 3, 4, 7, 17})","(1, 3, 4, 7, 17)","1,3,4,7,17"
6866,14291,C1-C2-C7-C10,2800.0,784.0,94.4,2971.99,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,2795.0,784.0,74.63,2947.26,102.0,528.0,83.0,217.0,96.0,238.0,455.0,366.0,567.0,143.0,2800.0,784.0,85.12,2941.33,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,2795.0,784.0,92.82,2938.37,413.0,181.0,166.0,63.0,538.0,341.0,146.0,154.0,652.0,141.0,2800.0,784.0,92.95,2933.62,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,87.98400000000001,13990.0,14732.57,2971.99,0.0,C1-C2-C7-C10,C1-C2-C7-C10-C17,4,"frozenset({1, 2, 7, 10, 17})","(1, 2, 7, 10, 17)","1,2,7,10,17"
7288,14713,C1-C4-C8-C10,2800.0,784.0,94.4,2971.99,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,2794.0,784.0,71.11,2930.81,175.0,439.0,189.0,696.0,4.0,4.0,73.0,13.0,1089.0,112.0,2795.0,784.0,92.88,2953.76,30.0,196.0,412.0,569.0,588.0,113.0,152.0,200.0,386.0,149.0,2795.0,784.0,92.82,2938.37,413.0,181.0,166.0,63.0,538.0,341.0,146.0,154.0,652.0,141.0,2800.0,784.0,94.71,2967.08,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,89.184,13984.0,14762.01,2971.99,0.0,C1-C4-C8-C10,C1-C4-C8-C10-C21,4,"frozenset({1, 4, 8, 10, 21})","(1, 4, 8, 10, 21)","1,4,8,10,21"
4663,12088,C3-C9-C10,2800.0,784.0,90.49,2970.94,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,2800.0,784.0,88.54,2961.66,279.0,269.0,267.0,262.0,282.0,275.0,304.0,284.0,287.0,291.0,2795.0,784.0,92.82,2938.37,413.0,181.0,166.0,63.0,538.0,341.0,146.0,154.0,652.0,141.0,2795.0,784.0,86.5,3195.43,143.0,364.0,12.0,119.0,511.0,471.0,17.0,580.0,169.0,409.0,2796.0,784.0,76.54,2934.74,4.0,7.0,1156.0,530.0,44.0,25.0,284.0,171.0,28.0,547.0,86.97800000000001,13986.0,15001.14,3195.43,0.0,C3-C9-C10,C3-C9-C10-C20-C24,3,"frozenset({3, 9, 10, 20, 24})","(3, 9, 10, 20, 24)","3,9,10,20,24"
